,Name,Calories,Carbs,Fats,Proteins,Fiber,Cholestrol,Sugar
335,"Drizzlecorn, Black & White",140,20.0,6.0,1.0,1.0,0,0
336,Potato Bread,70,14.0,1.0,3.0,0.0,20,0
337,"Indian Snacks, Salted Peanuts",637,21.9,51.9,20.6,0.9,0,13.0
338,Organic Bombay Chickpeas,110,12.0,5.0,3.0,2.0,0,2
339,"Indian Snacks, Halhari Chiwda",587,37.9,42.1,14.1,1.1,0,0
340,Classic Indian Curry Sauce,30,2.0,2.5,1.0,0.0,0,1
341,Namak Para,170,12.0,12.0,2.0,0.0,0,4.2
342,Movie Theater Popcorn,160,13.0,12.0,2.0,1.0,0,1
343,Hot Punjabi Mix,140,8.0,11.0,4.0,2.0,0,0
344,Premium Indian Tonic Water,30,7.6,0.0,0.0,0.0,0,0
345,Boneless Ham Steak,60,1.0,2.5,9.0,0.0,5.0,1
346,Indian Style Butter Chicken,310,37.0,7.0,24.0,3.0,0,5.8
347,Indian Style Nonfat Yogurt,140,19.0,0.0,13.0,0.0,0,1
348,"Indian Water Chestnut, Cooked",90,19.0,0.0,3.0,0.0,30,3
349,"Indian Snacks, Mini Bhakarwadi",260,26.0,16.0,4.0,2.0,70,18
350,Indian Madras Lentils,150,17.0,6.0,6.0,5.0,10.0,6
351,Authentic Indian Basmati Rice,160,36.0,0.0,4.0,1.0,0,2
352,Movie Theater Popcorn,160,13.0,12.0,2.0,3.0,0,3.0
353,"Pumpkin Seeds, Salted",36,1.0,3.0,2.0,0.2,10.0,0
354,Aloo Paratha,265,41.0,9.0,5.0,3.0,0,0
355,All Natural Kettlecorn,130,21.0,5.0,1.0,2.0,5.0,0
356,Indian Spinach Dal,100,12.0,4.0,4.0,4.0,0,1.0
357,Indian Spiced Lentil,160,30.0,2.5,7.0,7.0,0,6
358,All Natural Kettlecorn,130,21.0,5.0,1.0,2.0,0,4
359,Garlic Naan,200,36.0,3.5,7.0,2.0,0,9.0
360,"Tomato Sauce, Authentic Indian",25,5.0,0.0,0.0,0.0,0,6
361,Chai Indian Tea Concentrate,35,9.0,0.0,0.0,0.0,0,2
362,Organic Soups Indian Dal Curried Lentil,230,30.0,9.0,9.0,11.0,5,5
363,"Curry Oil, Indian Mild",130,0.0,14.0,0.0,0.0,0,9
364,"Hot Curry, Indian, Blend",0,0.0,0.0,0.0,0.0,0,4
365,Poha Sev,200,35.0,5.0,4.0,3.0,0,0
366,"Kesar, Rasmalai Indian Sweets",195,14.0,14.0,6.0,0.0,10,0
367,Paneer Indian Cheese,90,0.5,8.0,6.0,0.0,15,0
368,Coconut Ghee,122,0.0,14.0,0.0,0.0,10,2
369,Indian Malabar Peppercorns,0,0.0,0.0,0.0,0.0,0,0
370,Organic Delhi Lentils,290,43.0,7.0,14.0,2.0,20,8.0
371,"Lentils, Rice & Indian Spice",290,60.0,1.5,11.0,9.0,0,6
372,Indian Curry Sauce,15,4.0,0.0,0.0,0.0,0,22
373,Indian Seasoned Mushrooms,80,11.0,2.0,3.0,3.0,0,26
374,Mild Indian Curry Ketchup,40,4.0,2.5,0.0,0.0,0,2
375,"Indian Snacks, Chana Nuts",260,22.0,15.0,9.0,1.0,50.0,5.0
376,Sea Salt Popcorn,130,17.0,6.0,3.0,3.0,0,1
377,Indian Tandoori Marinade,53,2.0,5.0,0.0,0.0,20.0,5.0
378,Premium Apple Juice,120,30.0,0.0,0.0,0.0,0,0
379,Premium Apple Juice,120,30.0,0.0,0.0,0.0,0,0
380,"Indian Kitchen, Butter Chicken",400,36.0,19.0,23.0,4.0,0,9
381,"Naan Chips, Original",120,11.0,7.0,2.0,0.0,5.0,0
382,Smoked Indian Cottage Cheese,139,14.0,7.0,5.0,2.0,15,0
383,Muruku,120,20.0,3.0,3.0,0.0,0,5
384,Black & White Drizzlecorn,140,18.0,7.0,1.0,1.0,0,2
385,Orange Juice,110,26.0,0.0,2.0,0.0,0,0
386,Culture Ghee,120,0.0,14.0,0.0,0.0,10.0,4
387,Indian Lentil Soup,170,25.0,4.0,10.0,5.0,0,1.5
388,"Naan, Tandoori-Style",190,36.0,1.0,7.0,3.0,0,0
389,Coriander & Herbs Naan,260,46.0,5.0,7.0,2.0,15,12
390,Mango Indian Style Pickle,90,3.0,7.5,1.0,1.0,0,21
391,Premium Indian Tonic Water,50,13.0,0.0,0.0,0.0,0,13.0
392,West Indian Hot Sauce,0,0.0,0.0,0.0,0.0,10.0,3.0
393,Indian Bites Masala Meatballs,140,5.0,7.0,14.0,0.5,0,4
394,Toasted Coconut Drizzlecorn,140,19.0,7.0,1.0,1.0,0,0
395,"Popcorn, Parmesan & Herb",70,8.0,3.0,2.0,1.0,0,1
396,"Popcorn, Movie Theater",160,13.0,12.0,2.0,1.0,20.0,0
397,Mango Lassi,210,39.0,4.0,7.0,0.0,0,22
398,"Kettlecorn, Sweet & Salty",130,21.0,5.0,1.0,2.0,0,0
399,"Kettlecorn, Sweet & Salty",130,21.0,5.0,1.0,2.0,0,22
400,"Ghee, Clarified Butter",120,0.0,14.0,0.0,0.0,35,0
401,Blueberry Cardamom Lassi,130,21.0,2.0,7.0,1.0,25,9
402,Indian Appetizer Collection,180,14.0,10.0,9.0,1.0,10,7
403,Paun Bhaji,160,12.0,12.0,2.0,2.0,2.5,2
404,"Paratha, Homestyle",215,27.0,10.0,4.0,2.0,0,2
405,Indian Madras Lentils,150,17.0,6.0,6.0,5.0,45,2.0
406,"Indian Corn, Mello Creme",150,37.0,0.0,0.5,0.0,25.0,0
407,Kettle Corn Popcorn,130,21.0,5.0,1.0,2.0,0,3
408,Paneer Indian Semisoft Cheese,90,0.5,8.0,6.0,0.0,0,4
409,Natural Apple Sauce,50,14.0,0.0,0.0,1.0,0,3
410,Gluten Free Granola,150,19.0,7.0,3.0,2.0,0,0
411,Vegetables Indian Style,97,11.0,2.0,4.5,5.5,0,0
412,Bhel Mix,180,13.0,12.0,4.0,2.0,15,2
413,Coconut Oil,120,0.0,14.0,0.0,0.0,0,6
414,Sweet'N Salty Popcorn,130,20.0,5.0,2.0,3.0,0,2
415,Indian Meal Takeaway Ready Meals,42,4.2,2.0,1.7,0.3,0,3
416,Organic Iced Chai Latte,110,19.0,2.0,3.0,0.0,50,14
417,Indian Rogan Josh Cooking Sauce,90,11.0,5.0,1.0,2.0,25.0,0
418,"Organic, Indian Simmer, Tikka Masala",90,8.0,7.0,1.0,2.0,18.0,0
419,Naan Indian Meal For One Bread,145,23.5,3.0,4.5,1.0,0,0
420,"Mattar Paneer Indian Meal, frozen",370,54.0,11.0,13.0,6.0,10.0,0
421,"Rice, Indian Basmati",160,38.0,0.0,3.0,1.0,0,9
422,"Bacon, Black Pepper-Coated",80,0.0,7.0,4.0,0.0,0,4
423,Organic Tikka Sauce,150,11.0,9.0,3.0,2.0,0,5.0
424,"Popcorn, Cheese Jalapeno",150,14.0,10.0,2.0,2.0,0,3
425,Jeera Khari,210,18.0,15.0,3.0,2.0,0,0
426,Indian Madras Lentils,150,17.0,6.0,6.0,5.0,0,0
427,"Kettlecorn, Sweet & Salty",130,21.0,5.0,1.0,2.0,0,1
428,Indian Bites Samosas & Chutney,210,27.0,10.0,4.0,1.0,0,26
429,"Indian Bites, Aloo Tikki",170,16.0,11.0,3.0,3.0,0,26
430,"Indian Bites, Spinach Pakoras",160,17.0,9.0,3.0,3.0,90,2.0
431,Pumpkin Butter,35,9.0,0.0,0.0,0.0,0,0
432,Chipins Popcorn Chips,120,22.0,2.5,2.0,1.0,15,1
433,Indian Aloo Mattar Wrap,250,32.0,9.0,9.0,6.0,0,0
434,Sea Salt Popcorn,80,11.0,4.0,1.0,2.0,0,11
435,Indian Butter Chicken,65,8.0,3.0,2.0,0.0,0,22
436,Strawberry Apple Sauce,100,25.0,0.0,0.0,1.0,35,0
437,Movie Theater Popcorn,160,13.0,12.0,2.0,3.0,0,2
438,"Popcorn, Smoky Queso",160,12.0,11.0,3.0,2.0,0,0
439,"Indian Snacks, Aloo Bhujia",280,23.0,19.0,4.0,2.0,0,1
440,"Popcorn, Cheese Jalapeno",150,14.0,10.0,2.0,2.0,0,1
441,"Popcorn, Sea Salt",180,16.0,12.0,2.0,3.0,0,12
442,"Kashmiri Mixture, Authentic Indian",56,3.0,4.0,2.0,1.0,0,0
443,Indian River Grapefruit,140,5.0,0.0,0.5,0.0,45,2
444,Spinach Veggie Wrap,460,76.0,12.0,11.0,6.0,0,14.0
445,Indian Kale Chips,151,13.0,9.0,6.0,3.0,0,0
446,Cinnamon Sugar Kettlecorn,130,21.0,4.5,1.0,2.0,5.0,0
447,"Bhungra, Plain",160,19.0,8.0,2.0,1.0,15,36
448,Indian Korma Curry,160,14.0,10.0,3.0,3.0,0,9.0
449,Hot Punjabi Mix,140,8.0,11.0,4.0,2.0,0,9.0
450,Delicious Mix of Indian Snacks,270,23.0,16.0,8.0,2.0,35,0
451,"Curry Sauce, Medium",110,15.0,6.0,3.0,2.0,10,19
452,Indian Mattar Paneer,370,49.0,13.0,13.0,5.0,20,0
453,Sweet & Salty Kettlecorn,130,21.0,5.0,1.0,2.0,5,1
454,Chicken Korma,330,34.0,12.0,24.0,4.0,0,1
455,West Indian Mango Chutney,40,19.0,0.0,0.0,0.0,10,3
456,Indian Jaipur Vegetables,180,12.0,12.0,5.0,3.0,0,27
457,South Indian Coconut Stew,560,65.0,25.0,21.0,19.0,0,6
458,"Popcorn, Real Butter",120,20.0,3.5,3.0,4.0,25.0,0
459,Bhujia Sev Indian Snacks,592,37.1,43.5,12.9,4.9,0,11.0
460,"Toasted Coconut, Drizzlecorn",140,19.0,7.0,1.0,1.0,0,5.0
461,Chickpea Masala,290,46.0,11.0,9.0,14.0,0,5.5
462,Black & White Drizzlecorn,140,20.0,6.0,1.0,1.0,0,0
463,Movie Theater Popcorn,160,13.0,12.0,2.0,3.0,0,0
464,Indiana Popcorn Tasting Bar,170,17.0,11.0,2.0,1.0,0,5
465,Indian Blue Cornbread,70,16.0,0.0,2.0,1.0,0,0
466,Movie Theater Popcorn,160,13.0,12.0,2.0,3.0,0,3.0
467,"Sauce, Blueberry Apple",90,23.0,0.0,0.5,2.0,0,13.0
468,Spicy Indian Simmer Sauce,25,3.0,1.5,1.0,0.0,0,0
469,Indian Style 2% Lowfat Yogurt,180,16.0,5.0,11.0,0.0,0,0
470,"Kettlecorn, Sweet & Salty",130,16.0,7.0,1.0,2.0,0,0
471,"Kettlecorn, Sweet & Salty",130,21.0,5.0,1.0,2.0,0,3
472,Indian Cottage Cheese with Spinach,167,12.0,11.0,5.0,1.0,0,0
473,Paneer Julcha,200,26.0,7.0,8.0,1.0,15,0
474,"Sukhi's, Gobi Aloo Complete Spice Mix",5,1.0,0.0,0.0,1.0,10,1.0
475,"Maya Kaimal, Butter Masala, Mild",100,6.0,8.0,1.0,1.0,0,1
476,"World Menu, Indian Inspired Cuisine, Chana Masala",490,77.0,16.0,13.0,8.1,0,0
477,"Gotta Cook Tonight, Indian Yogurt Sauce Mix Tandoori",0,0.0,0.0,0.0,0.0,10.0,3.0
478,White Basmati Indian Rice,160,36.0,0.0,4.0,1.0,0,9.0
479,"Grill Seasoning With Garlic, Ginger, And Hot Indian Chilies.",0,1.0,0.0,0.0,0.0,0,0
480,"Kashi Crunchy Bars Indian Inspired Savory 1.05Oz, Unprepared",130,20.0,5.0,3.0,4.0,0,2
481,Indian River Grapefruit,180,6.0,0.0,0.5,0.0,0,2
482,"Popcorn, Caramel",110,26.0,0.0,1.0,1.0,0,8
483,Premium Apple Juice,120,30.0,0.0,0.0,0.0,0,0
484,"Moraiyo, Indian Sawa Millet",90,18.0,1.0,3.0,1.0,0,5
485,Indian Inspired Chicken,280,28.0,9.0,20.0,4.0,0,0
486,"Bombay Chickpeas, Organic",110,12.0,5.0,3.0,2.0,0,3
487,Indian Palak Paneer,340,45.0,12.0,14.0,7.0,0,22.0
488,Madras Coconut Curry,15,2.0,1.0,0.0,1.0,5.0,0
489,Onion Kulcha,250,40.0,7.0,6.0,4.0,5.0,2
490,Indian Spiced Lentils,140,27.0,3.0,6.0,6.0,0,0
491,Movie Theater Popcorn,160,13.0,12.0,2.0,1.0,0,1
492,"Bacon, Thick Cut",80,0.0,7.0,5.0,0.0,0,0
493,Indian River Grapefruit,140,5.0,0.0,0.5,0.0,0,0.1
494,"Organic Soup, Indian Dhal",140,20.0,3.5,8.0,9.0,0,5
495,Indian Dal,10,2.0,0.0,0.0,1.0,0,7
496,Indian Madras Lentils,140,17.0,6.0,6.0,6.0,0,3
497,Tandoori Indian Curry Paste,60,5.0,4.0,0.5,1.0,0,7.0
498,Indian Basmati Rice,160,35.0,0.0,3.0,0.0,0,1
499,Indian Butter Chicken,170,21.0,8.0,3.0,2.0,0,4
500,Indian Spiced White Latte,160,26.0,6.0,1.0,0.0,0,1
501,Black & White Drizzlecorn,140,20.0,6.0,1.0,1.0,0,0
502,Indian Madras Lentils,150,17.0,6.0,6.0,5.0,0,6.0
503,Premium Indian Tonic Water,25,6.0,0.0,0.0,0.0,20.0,8
504,Butter Flavored Popcorn,90,7.0,7.0,1.0,1.0,0,9.0
505,"Indian Flatbread, Phulka Roti",100,14.0,3.0,2.0,0.0,75,2.0
506,Paneer Indian Semisoft Cheese,90,1.0,7.0,7.0,0.0,0,10
507,Orange Juice,110,26.0,0.0,2.0,0.0,0,6.0
508,"Indian Snacks, Masala Chana",230,27.0,9.0,9.0,1.0,0,6
509,Orange Juice,110,26.0,0.0,2.0,0.0,0,0
510,"Ghee, Organic",120,0.0,14.0,0.0,0.0,0,0
511,"Dahi, Indian Style Yogurt",130,11.0,6.0,7.0,0.0,0,14.0
512,Indian Inspired Vegetable Pakoras,340,40.0,16.0,10.0,3.0,0,5.0
513,Indian Style Vegatable Blends,140,26.0,2.0,5.0,5.0,0,13.0
514,Indian Golden Lentil Soup,210,22.0,10.0,8.0,9.0,5.0,0
515,"Indian Snacks, Bombay Mix",230,21.0,14.0,4.0,0.0,5,15
516,Naan Traditional Indian-Style Flatbread,170,33.0,2.5,5.0,1.0,0,5
517,Indian's Finest Basmati Rice,346,78.0,0.5,7.0,2.0,5.0,0
518,"Rice, Basmati",164,38.0,0.0,3.0,0.0,0,21
519,"Indian Bites, Chicken Samosas",240,28.0,9.0,13.0,3.0,0,1
520,Indian,180,21.0,10.0,5.0,3.0,25,15
521,Kitchari Indian Fare,210,31.0,9.0,7.0,6.0,0,8
522,Indian Style Flatbread,340,59.0,5.0,10.0,2.0,0,9.0
523,Paneer Indian Cottage Cheese,90,0.5,8.0,6.0,0.0,19,0
524,Chicken Curry,280,33.0,9.0,19.0,1.0,5.0,2
525,"Small Batch Indian Spiced Popcorn, Tamarind Sesame With Papadums",130,20.0,5.0,2.0,2.0,0,11.0
526,Vegetable Masala Burger With Authentic Indian Spices,140,17.0,8.0,2.0,3.0,0,1.0
527,"Jyoti Natural Foods, Punjabi Chhole",180,21.0,9.0,6.0,5.0,0,3.0
528,"Muruku, Tasty Southern Indian Tidbits, Onion",120,20.0,3.0,3.0,0.0,0,0
529,Indian Essentials Chicken Curry Seasoning Mix,20,4.0,0.0,0.0,0.0,0,1.0
530,"Amy's, Indian Non-Dairy Mattar Tofu",280,40.0,8.0,12.0,5.1,0,5.0
531,"Truly Indian, Bombay Aloo, Curried Baby Potatoes",140,13.0,8.0,3.0,3.0,0,5.0
532,Brown Basmati Indian Rice,140,31.0,1.5,3.0,2.0,0,1.0
533,Handcrafted Naan Flatbread Sandwich,331,38.0,12.0,16.0,2.0,0,4.0
534,Madras Vegetables Complete Spice Mix,14,1.4,0.7,0.0,0.0,0,0
535,"The Art Of Spice, Indian Tandoori Grilling Rub",0,0.0,0.0,0.0,0.0,0,0
536,"Amy's, Indian, Aloo Mattar Wrap",250,32.0,9.0,9.0,5.9,0,5.0
537,"Spice Paste For Indian Butter Chicken, Mild",30,1.0,2.0,1.0,1.0,0,1.0
538,"Punjab Red Tandoori Medium Heat Indian Seasoning, Medium",0,0.0,0.0,0.0,0.0,0,0
539,"Thokku, South Indian Spiced Relish",70,7.0,4.0,0.0,1.0,0,5.0
540,Indian Korma Curry Gourmet Meal Kit,160,14.0,10.0,3.0,3.0,0,4
541,"Sukhi's, Chicken Tikka Masala",261,23.0,8.0,24.0,0.9,0,2.0
542,"Sukhi's, Chicken Curry, Medium Spiced",240,24.0,5.0,23.0,2.0,0,1.0
543,"Indian Essentials Butter Chicken Seasoning Mix, Medium",10,2.0,0.0,0.0,0.0,0,1
544,"Muruku, Tasty Southern Indian Tidbits, Original",120,20.0,3.0,3.0,0.0,0,0
545,"Madras Curry Indian Summer Sauce, Spicy",110,11.0,7.0,1.0,1.0,0,7.0
546,"Maya Kaimal, Kashmiri Curry, Mild",90,10.0,6.0,1.0,1.0,0,7.0
547,"Muruku, Tasty Southern Indian Tidbits, Onion",120,20.0,3.0,3.0,0.0,0,0
548,"Muruku, Tasty Southern Indian Tidbits",120,20.0,3.0,3.0,0.0,0,0
549,Indian Essentials Saag Aloo Seasoning Mix,14,2.9,0.0,0.0,0.0,0,1.4
550,"Sukhi's, Vegan Chili Chicken",270,36.0,6.0,20.0,5.9,0,4.0
551,Premium Chunky Peach Apple Sauce,100,25.0,0.0,1.0,1.0,0,21.0
552,"Organic Basmati Rice, Aromatic Indian Rice",170,37.0,2.0,3.0,1.0,0,0
553,Indian Butter Chicken Gourmet Meal Kit,100,15.0,3.0,2.0,4.0,0,7.0
554,"Indian Essentials, Chicken Biryani Seasoning Mix",15,3.0,0.0,0.0,0.0,0,0
555,"Indian Entrees, Spinach Dal, vegan kosher",115,13.0,5.0,5.0,4.0,0,3
556,"Indian Entrees, Peas Paneer, vegetarian kosher",155,13.5,9.9,3.0,6.3,13,4.5
557,"Indian Entrees, Bombay Potatoes, vegan kosher",105,13.0,4.0,5.0,3.0,0,2
558,"Gluten Free Indian Aloo Mattar Wrap, frozen",270,32.0,9.0,9.0,6.0,0,5
559,Blue Menu Indian Lentil Low Fat Instant Soup,150,25.0,1.5,8.0,5.0,0,0
560,Blue Menu Indian Cooking Sauce Butter Chicken,100,10.0,6.0,2.0,1.0,15,0
561,Indian-Spiced Lentil and Quinoa Ragou with Roasted Vegetables,380,64.0,7.0,15.0,13.0,5.0,0
562,Indian Cabbage and Peas,144,15.1,8.3,4.9,5.0,0,0
563,Indian Spiced Chai,0,0.0,0.0,0.0,0.0,0,0
564,Indian Spiced Chai,0,0.0,0.0,0.0,0.0,0,0
565,Indian Mango and Honey Yoghurt Smoothie,88,14.1,2.1,3.2,0.7,0,0
566,Organic Indian Coconut Squash Dal,180,24.0,7.0,6.0,6.0,0,3
567,Organic Indian Madras Lentils,140,17.0,6.0,6.0,6.0,5,0
568,"Fruit Juice, Orange with Probiotics",110,26.0,0.0,2.0,0.0,5.0,0
569,"Indian Spice Rub, Zesty Tikka",0,0.5,0.0,0.0,0.0,0,0
570,Cream Roll Chocolate Crispy Indian-Style Pastry,280,28.0,17.0,4.0,2.0,0,1
571,Organic Alphonso Mango Puree,70,17.0,0.0,0.5,2.0,0,0
572,Indian Style Chickpeas & Rice Bowl,360,63.0,8.0,10.0,10.0,0,0
573,Organic Indian Curried Lentil Soup,380,47.0,15.0,15.0,12.0,0,0
574,Organic Ashwagandha Root Indian Ginseng Powder,0,0.5,0.0,0.0,0.0,0,1
575,Kulcha Pocketless Pita,190,36.0,1.0,7.0,3.0,0,22
576,"Milk Chocolate, Indian Sweet Curry",270,26.0,13.0,2.0,2.0,0,0
577,Organic Indian Madras Lentils,140,17.0,6.0,6.0,6.0,0,11
578,Low Calorie Indian Food Coconut  Biscuits,137,7.9,9.6,4.8,6.4,0,17
579,Organic Indian  Madras Lentil,140,19.0,4.0,6.0,7.0,0,3
580,"Tikka Paste, Indian Curry Paste",30,2.0,2.0,0.5,1.0,0,6
581,Indian Style Curry Chicken W/Vegetables,230,34.0,4.0,14.0,2.0,0,0
582,Indian Home Style Yogurt,184,13.0,10.0,11.0,0.0,0,0
583,Parker House Whole Wheat,160,29.0,2.0,6.0,3.0,5,24
584,Indian Inspired Korma Simmer Sauce,360,26.0,28.0,3.0,3.0,10.0,4
585,Indian Style Cauliflower,110,10.0,6.0,3.0,4.0,0,0
586,Black & White Drizzle Popcorn,140,17.0,8.0,1.0,2.0,0,2
587,Black & White Fudge Drizzle Popcorn,140,18.0,8.0,1.0,2.0,0,0
588,Lemon Rice,190,39.0,1.5,4.0,1.0,30,5.0
589,Indian Fare Pav Bhaji,160,18.0,9.0,3.0,3.0,12,0
590,"Fit Popcorn Chips, Sea Salt",120,22.0,2.5,2.0,1.0,15,2.0
591,Original Movie Theater Popcorn,140,11.0,11.0,1.0,3.0,0,15
592,"Fit Popcorn, Real Butter",50,8.0,1.5,1.0,1.0,0,3
593,"Drizzlecorn, Chocolate Peanut Butter",140,19.0,7.0,2.0,2.0,0,12
594,"Juice, Ruby Red Grapefruit",90,24.0,0.0,1.0,0.0,0,13
595,"Indian Vegetable Tikka Masala, Mild",130,17.0,5.0,4.0,6.0,0,0
596,Tikka Vegetables,150,16.0,8.0,4.0,3.0,5,0
597,"South Indian Delite, Kerala Ribbon Pakoda",147,16.5,8.0,2.8,1.5,0,0
598,"100% Cider, Apple",120,30.0,0.0,0.0,0.0,5.0,0
599,Cinnamon Sugar Kettle Corn,130,21.0,4.5,1.0,2.0,0,0
600,Garlic Naan Indian Bread,230,43.0,3.5,7.0,3.0,0,13.0
601,Sweet Indian Mix with Naan,310,24.0,21.0,5.0,3.0,0,23
602,Spicy Indian Veggie,130,11.0,8.0,6.0,5.0,0,5.0
603,Organic Indian Basmati White Rice,160,35.0,0.5,3.0,1.0,0,0
604,Matar Paneer,210,15.0,13.0,9.0,3.0,0,26.0
605,Indian Curry with Rice & Dhal,100,20.0,0.5,5.0,5.0,0,7.0
606,Boneless Ham Steak,75,2.0,1.5,16.0,0.0,0,4
607,"Sriracha, Boneless Ham Steaks",60,1.0,2.5,9.0,0.0,0,7.0
608,Indian Split Pea Soup,200,29.0,5.0,10.0,5.0,0,1
609,Goan Coconut Indian Simmer Sauce,100,11.0,6.0,1.0,1.0,0,0
610,Ruby Red Grapefruit Juice,90,24.0,0.0,1.0,3.0,20,0
611,"South Indian Cuisine, Masala Dosa",180,23.0,8.0,3.0,2.0,0,3.0
612,Candy Coated Chocolate Pieces,150,17.0,9.0,1.0,2.0,40.0,0.5
613,Black & White Drizzlecorn Kettle Popped,140,18.0,7.0,1.0,1.0,30,1
614,"South Indian Snacks, Madras Mix",155,11.0,10.0,5.0,2.0,0,4
615,"Indian Flatbread, Tandoori Naan",240,45.0,4.5,6.0,2.0,0,7.0
616,East Indian Style Curry Soup,130,22.0,3.0,4.0,3.0,0,23
617,"Indian Simmer Sauce, Tikka Masala",150,9.0,12.0,2.0,1.0,0,0
618,"Organic Indian Yogurt Smoothie, Strawberry",170,17.0,9.0,8.0,0.0,0,12
619,"Ashwagandha Root Powder, Indian Ginseng",4,0.5,0.0,0.0,0.5,0,11
620,All Natural Sea Salt Popcorn,130,18.0,6.0,3.0,3.0,0,0
621,"Indian Cooking Sauce, Hot Vindaloo",120,10.0,9.0,2.0,3.0,0,2
622,Indian Mini Vegetable Samosas,90,14.0,3.0,2.0,1.0,0,6
623,Indian Curry Nuts Virginia Peanuts,170,7.0,14.0,7.0,3.0,25.0,7
624,"Plantain Chips, Original",130,18.0,6.0,1.0,1.0,30,17
625,"Fit Popcorn, Sea Salt",150,20.0,7.0,3.0,4.0,0,0
626,"Sriracha Popcorn, Hot Chili Sauce",150,15.0,9.0,2.0,2.0,0,0
627,Indian Aloo Tikki Burger,80,14.0,2.0,2.0,2.0,0,3
628,Orange Honeybell Blend,110,26.0,0.0,2.0,0.0,0,2
629,Curried Lentil Indian Dal,5,0.0,0.0,0.0,0.0,0,0
630,Naan Pizza Eggplant,320,44.0,10.0,14.0,3.0,0,1
631,"Rogan Sosh, Simmer Sauce",25,5.0,0.0,1.0,1.0,0,0
632,"Fit Popcorn, Himalayan Pink Salt",130,17.0,6.0,3.0,3.0,0,2
633,"Drizzlecorn, Chocolate Peanut Butter",140,19.0,7.0,1.0,1.0,0,0
634,Indian Bean Masala Soup,160,30.0,2.5,9.0,7.0,0,22
635,Indian Coconut Squash Dal,180,24.0,7.0,6.0,6.0,0,0
636,"Indian Fare, Madras Lentil",130,14.0,5.0,6.0,5.0,10,5
637,"Indian Entrees, Jodhpur Lentils, vegetarian kosher",106,12.0,4.0,6.0,7.0,0,1.0
